priority_group,customers,avg_churn_probability,avg_monthly_charge,avg_cltv,total_expected_monthly_revenue_at_risk,total_expected_annual_revenue_at_risk
Low Priority,353,0.019715665,46.46303116147309,4530.555240793201,324.37131166027393,3892.455739923287
Medium Priority,352,0.098268315,63.46463068181818,4451.650568181818,2167.6977780732327,26012.37333687879
High Priority,352,0.34268942,68.72642045454546,3987.693181818182,8388.172263478487,100658.06716174186
Critical Priority,352,0.60292345,77.75142045454545,4570.014204545455,16720.687345801292,200648.24814961554
